line,part,cost,coreprice,qtyonhand,packs,sku
,40243,309.41,,26,,BBPJ_40243
,40361,390.15,,18,,BBPJ_40361
,30494,436.6,,9,,BBPJ_30494
,30486,485.28,,9,,BBPJ_30486
,30499,466.43,,4,,BBPJ_30499
,03408B,12.21,,12,,BCZF_03408B
,PA10133,18.04,,22,,BFDG_PA10133
,PA10148,31.21,,6,,BFDG_PA10148
,PA10154,28.91,,1,,BFDG_PA10154
,PA10138,58.6,,1,,BFDG_PA10138
,PA4169,21.36,,19,,BFDG_PA4169
,PA10215KIT,34.27,,1,,BFDG_PA10215KIT
,PA4391,23.69,,34,,BFDG_PA4391
,PA10128,28.03,,4,,BFDG_PA10128
,PA4474,22.05,,1,,BFDG_PA4474
,PA4398,31.08,,18,,BFDG_PA4398
,PA4384,33.62,,4,,BFDG_PA4384
,PA10159,25.54,,1,,BFDG_PA10159
,PA4403,29.07,,2,,BFDG_PA4403
,PA4410KIT,21.12,,1,,BFDG_PA4410KIT
,PA4424,51.7,,2,,BFDG_PA4424
,PA4196,23.06,,107,,BFDG_PA4196
,PA4304,33.85,,6,,BFDG_PA4304
,PA4174,23.53,,2,,BFDG_PA4174
,PA4317,20.31,,1,,BFDG_PA4317
,PA4408,25.45,,14,,BFDG_PA4408
,PA4394,27.15,,4,,BFDG_PA4394
,PA4372,23.4,,2,,BFDG_PA4372
,PA2101A,10.92,,12,,BFDG_PA2101A
,X23TE6895,11.3,,15,,HDHN_X23TE6895
,X53TE4545,6.24,,15,,HDHN_X53TE4545
,X52TA4349,17.14,,1,,HDHN_X52TA4349
,X23TR1961,8.29,,10,,HDHN_X23TR1961
,X06ID0015,19.12,,3,,HDHN_X06ID0015
,X05TR0861,8.37,,35,,HDHN_X05TR0861
,X34TE2812,10.71,,13,,HDHN_X34TE2812
,X05TR6276,12.55,,15,,HDHN_X05TR6276
,X17TR7631,12.71,,8,,HDHN_X17TR7631
